Type,Bit Error Rate,CodeRate,SNR,factor
attenuated,0.262530864197531,0.5,1,0.1
attenuated,0.272253086419753,0.5,1,0.5
attenuated,0.292191358024691,0.5,1,0.9
attenuated,0.269444444444444,0.5,1,0.4
attenuated,0.266265432098765,0.5,1,0.3
attenuated,0.264259259259259,0.5,1,0.2
attenuated,0.276543209876543,0.5,1,0.6
attenuated,0.300617283950617,0.5,1,1
attenuated,0.288148148148148,0.5,1,0.8
attenuated,0.280864197530864,0.5,1,0.7
attenuated,0.25070987654321,0.5,2,0.4
attenuated,0.271512345679012,0.5,2,0.8
attenuated,0.25570987654321,0.5,2,0.5
attenuated,0.243858024691358,0.5,2,0.2
attenuated,0.248086419753086,0.5,2,0.3
attenuated,0.280586419753086,0.5,2,0.9
attenuated,0.284876543209877,0.5,2,1
attenuated,0.259228395061728,0.5,2,0.6
attenuated,0.266512345679012,0.5,2,0.7
attenuated,0.242067901234568,0.5,2,0.1
attenuated,0.224413580246914,0.5,3,0.3
attenuated,0.254907407407407,0.5,3,0.8
attenuated,0.216666666666667,0.5,3,0.1
attenuated,0.240030864197531,0.5,3,0.6
attenuated,0.269228395061728,0.5,3,1
attenuated,0.247654320987654,0.5,3,0.7
attenuated,0.229537037037037,0.5,3,0.4
attenuated,0.220802469135802,0.5,3,0.2
attenuated,0.261512345679012,0.5,3,0.9
attenuated,0.234259259259259,0.5,3,0.5
attenuated,0.19033950617284,0.5,4,0.2
attenuated,0.232623456790123,0.5,4,0.8
attenuated,0.206574074074074,0.5,4,0.5
attenuated,0.240308641975309,0.5,4,0.9
attenuated,0.221944444444444,0.5,4,0.7
attenuated,0.20141975308642,0.5,4,0.4
attenuated,0.195,0.5,4,0.3
attenuated,0.215123456790123,0.5,4,0.6
attenuated,0.246049382716049,0.5,4,1
attenuated,0.186944444444444,0.5,4,0.1
attenuated,0.183456790123457,0.5,5,0.4
attenuated,0.1925,0.5,5,0.5
attenuated,0.219814814814815,0.5,5,0.9
attenuated,0.200277777777778,0.5,5,0.6
attenuated,0.168395061728395,0.5,5,0.1
attenuated,0.172777777777778,0.5,5,0.2
attenuated,0.21570987654321,0.5,5,0.8
attenuated,0.177932098765432,0.5,5,0.3
attenuated,0.234537037037037,0.5,5,1
attenuated,0.208796296296296,0.5,5,0.7
attenuated,0.206049382716049,0.5,6,0.9
attenuated,0.147314814814815,0.5,6,0.2
attenuated,0.142006172839506,0.5,6,0.1
attenuated,0.197654320987654,0.5,6,0.8
attenuated,0.220524691358025,0.5,6,1
attenuated,0.189938271604938,0.5,6,0.7
attenuated,0.181481481481481,0.5,6,0.6
attenuated,0.171728395061728,0.5,6,0.5
attenuated,0.154382716049383,0.5,6,0.3
attenuated,0.162932098765432,0.5,6,0.4
attenuated,0.14787037037037,0.5,7,0.4
attenuated,0.168672839506173,0.5,7,0.6
attenuated,0.125925925925926,0.5,7,0.1
attenuated,0.17891975308642,0.5,7,0.7
attenuated,0.211728395061728,0.5,7,1
attenuated,0.188179012345679,0.5,7,0.8
attenuated,0.14,0.5,7,0.3
attenuated,0.131481481481481,0.5,7,0.2
attenuated,0.196975308641975,0.5,7,0.9
attenuated,0.15820987654321,0.5,7,0.5
attenuated,0.121049382716049,0.5,8,0.3
attenuated,0.104876543209877,0.5,8,0.1
attenuated,0.154012345679012,0.5,8,0.6
attenuated,0.1125,0.5,8,0.2
attenuated,0.141759259259259,0.5,8,0.5
attenuated,0.17429012345679,0.5,8,0.8
attenuated,0.201111111111111,0.5,8,1
attenuated,0.187654320987654,0.5,8,0.9
attenuated,0.164444444444444,0.5,8,0.7
attenuated,0.130216049382716,0.5,8,0.4
attenuated,0.261975308641975,0.5,1,0.03
attenuated,0.262006172839506,0.5,1,0.05
attenuated,0.261543209876543,0.5,1,0.001
attenuated,0.261666666666667,0.5,1,0.01
attenuated,0.242098765432099,0.5,2,0.01
attenuated,0.241975308641975,0.5,2,0.03
attenuated,0.241944444444444,0.5,2,0.001
attenuated,0.24216049382716,0.5,2,0.05
attenuated,0.216018518518518,0.5,3,0.05
attenuated,0.214814814814815,0.5,3,0.001
attenuated,0.215771604938272,0.5,3,0.03
attenuated,0.215092592592593,0.5,3,0.01
attenuated,0.185401234567901,0.5,4,0.05
attenuated,0.184259259259259,0.5,4,0.001
attenuated,0.184598765432099,0.5,4,0.03
attenuated,0.184413580246914,0.5,4,0.01
attenuated,0.166759259259259,0.5,5,0.05
attenuated,0.16466049382716,0.5,5,0.001
attenuated,0.165555555555556,0.5,5,0.03
attenuated,0.165185185185185,0.5,5,0.01
attenuated,0.136913580246914,0.5,6,0.001
attenuated,0.13787037037037,0.5,6,0.01
attenuated,0.138858024691358,0.5,6,0.05
attenuated,0.138271604938272,0.5,6,0.03
attenuated,0.120308641975309,0.5,7,0.01
attenuated,0.120030864197531,0.5,7,0.001
attenuated,0.12216049382716,0.5,7,0.05
attenuated,0.121203703703704,0.5,7,0.03
attenuated,0.100987654320988,0.5,8,0.05
attenuated,0.0988888888888889,0.5,8,0.03
attenuated,0.0982407407407407,0.5,8,0.01
attenuated,0.0977469135802469,0.5,8,0.001
